mesh_label,n_cells,brae_default_s,brae_best_s,of_20core_s,speedup_best_over_default,speedup_of_over_braebest
990k,990225,24.3,21.6,15.9,1.1250,0.7361
4.89M,4890000,122.1,107.7,107.0,1.1337,0.9935
10.28M,10281225,267.1,232.5,228.8,1.1488,0.9841
14.97M,14975625,384.1,339.6,354.4,1.1310,1.0436
35.6M,35648100,1045.8,877.1,990.4,1.1923,1.1292
