cycle,cell,psi,residual,resnorm
0,0,0,2,1
0,1,0,0,1
0,2,0,0,1
0,3,0,0,1
0,4,0,2,1
0,5,0,0,1
0,6,0,0,1
0,7,0,0,1
0,8,0,2,1
0,9,0,0,1
0,10,0,0,1
0,11,0,0,1
0,12,0,2,1
0,13,0,0,1
0,14,0,0,1
0,15,0,0,1
0,16,0,3,1
0,17,0,1,1
0,18,0,1,1
0,19,0,1,1
1,0,0.8814297202807964,-0.008449537164003651,0.009623191872161371
1,1,0.6392600230275652,-0.009769858093730877,0.009623191872161371
1,2,0.3897226113075618,-0.01146197491362055,0.009623191872161371
1,3,0.1309459300580856,-0.002161100715494996,0.009623191872161371
1,4,0.8780093209316163,0.0005122046777494837,0.009623191872161371
1,5,0.6368578794006066,-0.0183473898766271,0.009623191872161371
1,6,0.387499905923414,-0.0003735097488611894,0.009623191872161371
1,7,0.1319000082092857,-0.004260868699083625,0.009623191872161371
1,8,0.8722712096544282,-0.019043526545925,0.009623191872161371
1,9,0.6243148778432034,0.01224645950550984,0.009623191872161371
1,10,0.3911456150273407,-0.01442688072245479,0.009623191872161371
1,11,0.1367933363658454,0.0002741990379404036,0.009623191872161371
1,12,0.839988322951396,0.01504364803719094,0.009623191872161371
1,13,0.609231266795948,-0.01355321718642066,0.009623191872161371
1,14,0.401547459254445,0.0007231307830871114,0.009623191872161371
1,15,0.1611952576305412,0.0001205217971811945,0.009623191872161371
1,16,0.7334827863437954,-0.003387205163049245,0.009623191872161371
1,17,0.5575211899483267,0.000448931745147152,0.009623191872161371
1,18,0.4453408283470374,0.000120521797181361,0.009623191872161371
1,19,0.2677560143295964,0,0.009623191872161371
2,0,0.8744674313007621,0.0002689866491294435,0.0003919379011700978
2,1,0.6250663017990915,-0.001200195379930658,0.0003919379011700978
2,2,0.3761103654135343,-0.0002043600487383612,0.0003919379011700978
2,3,0.1258870887719777,-0.0001011682125915403,0.0003919379011700978
2,4,0.8730724100530864,-0.001178222015115082,0.0003919379011700978
2,5,0.6234209133030476,0.0002210407744218656,0.0003919379011700978
2,6,0.3771733456207953,-0.0002947489734183573,0.0003919379011700978
2,7,0.1273368214617848,4.890220888695285e-05,0.0003919379011700978
2,8,0.8662954836465071,0.0005658983359171366,0.0003919379011700978
2,9,0.6185926365136392,-0.0002520010988661392,0.0003919379011700978
2,10,0.3815305333313961,0.0002726914010489634,0.0003919379011700978
2,11,0.1336725751250381,7.767841518030449e-05,0.0003919379011700978
