solver,step,grid,cell,x,r
of_gamg,8,0,10,3.863686719215e-01,2.771863365963e-02
of_gamg,8,0,11,1.399517490447e-01,-2.061685894405e-02
of_gamg,8,0,12,8.489264791870e-01,-5.072776347929e-02
of_gamg,8,0,13,5.980959272750e-01,6.065564158040e-02
of_gamg,8,0,14,4.109867045651e-01,-5.397798826101e-02
of_gamg,8,0,15,1.606362810531e-01,1.534108681154e-02
of_gamg,8,0,16,7.292254562968e-01,3.468383393381e-02
of_gamg,8,0,17,5.611100925277e-01,-3.336112931697e-02
of_gamg,8,0,18,4.448679497497e-01,1.534108681154e-02
of_gamg,8,0,19,2.675840384671e-01,0.000000000000e+00
of_gamg,9,0,0,8.786814271849e-01,-4.291674559769e-03
of_gamg,9,0,1,6.343461432699e-01,-5.576148225112e-03
of_gamg,9,0,2,3.856086289206e-01,-8.721738029184e-03
of_gamg,9,0,3,1.294363905563e-01,-1.394982403231e-03
of_gamg,9,0,4,8.760878909100e-01,2.820287013451e-03
of_gamg,9,0,5,6.331722254790e-01,-1.567252443575e-02
of_gamg,9,0,6,3.843216149065e-01,1.616544902737e-03
of_gamg,9,0,7,1.307419509015e-01,-3.800062808262e-03
of_gamg,9,0,8,8.714060888995e-01,-1.893633069971e-02
of_gamg,9,0,9,6.222607283938e-01,1.344135502614e-02
of_gamg,9,0,10,3.893801992275e-01,-1.393422111698e-02
of_gamg,9,0,11,1.361516862364e-01,2.813731389129e-04
of_gamg,9,0,12,8.397454944943e-01,1.468030259368e-02
of_gamg,9,0,13,6.085257549952e-01,-1.387032365337e-02
of_gamg,9,0,14,4.008525462564e-01,5.755257705471e-04
of_gamg,9,0,15,1.609176541920e-01,9.592096175792e-05
of_gamg,9,0,16,7.334759311703e-01,-3.736165344656e-03
of_gamg,9,0,17,5.573739271830e-01,2.941526316340e-04
of_gamg,9,0,18,4.451621023813e-01,9.592096175748e-05
of_gamg,9,0,19,2.676799594289e-01,0.000000000000e+00
of_gamg,10,0,0,8.786814271849e-01,-4.291674559769e-03
of_gamg,10,0,1,6.343461432699e-01,-5.576148225112e-03
of_gamg,10,0,2,3.856086289206e-01,-8.721738029184e-03
of_gamg,10,0,3,1.294363905563e-01,-1.394982403231e-03
of_gamg,10,0,4,8.760878909100e-01,2.820287013451e-03
of_gamg,10,0,5,6.331722254790e-01,-1.567252443575e-02
of_gamg,10,0,6,3.843216149065e-01,1.616544902737e-03
of_gamg,10,0,7,1.307419509015e-01,-3.800062808262e-03
of_gamg,10,0,8,8.714060888995e-01,-1.893633069971e-02
of_gamg,10,0,9,6.222607283938e-01,1.344135502614e-02
of_gamg,10,0,10,3.893801992275e-01,-1.393422111698e-02
of_gamg,10,0,11,1.361516862364e-01,2.813731389129e-04
of_gamg,10,0,12,8.397454944943e-01,1.468030259368e-02
of_gamg,10,0,13,6.085257549952e-01,-1.387032365337e-02
of_gamg,10,0,14,4.008525462564e-01,5.755257705471e-04
of_gamg,10,0,15,1.609176541920e-01,9.592096175792e-05
of_gamg,10,0,16,7.334759311703e-01,-3.736165344656e-03
of_gamg,10,0,17,5.573739271830e-01,2.941526316340e-04
of_gamg,10,0,18,4.451621023813e-01,9.592096175748e-05
of_gamg,10,0,19,2.676799594289e-01,0.000000000000e+00
of_gamg,11,0,0,8.814297202808e-01,-8.449537164004e-03
of_gamg,11,0,1,6.392600230276e-01,-9.769858093731e-03
of_gamg,11,0,2,3.897226113076e-01,-1.146197491362e-02
of_gamg,11,0,3,1.309459300581e-01,-2.161100715495e-03
of_gamg,11,0,4,8.780093209316e-01,5.122046777495e-04
of_gamg,11,0,5,6.368578794006e-01,-1.834738987663e-02
of_gamg,11,0,6,3.874999059234e-01,-3.735097488612e-04
of_gamg,11,0,7,1.319000082093e-01,-4.260868699084e-03
of_gamg,11,0,8,8.722712096544e-01,-1.904352654593e-02
of_gamg,11,0,9,6.243148778432e-01,1.224645950551e-02
of_gamg,11,0,10,3.911456150273e-01,-1.442688072245e-02
of_gamg,11,0,11,1.367933363658e-01,2.741990379406e-04
of_gamg,11,0,12,8.399883229514e-01,1.504364803719e-02
of_gamg,11,0,13,6.092312667959e-01,-1.355321718642e-02
of_gamg,11,0,14,4.015474592544e-01,7.231307830873e-04
of_gamg,11,0,15,1.611952576305e-01,1.205217971808e-04
of_gamg,11,0,16,7.334827863438e-01,-3.387205163049e-03
of_gamg,11,0,17,5.575211899483e-01,4.489317451473e-04
of_gamg,11,0,18,4.453408283470e-01,1.205217971809e-04
of_gamg,11,0,19,2.677560143296e-01,4.440892098501e-16
of_gamg,12,1,0,0.000000000000e+00,-7.937332486254e-03
of_gamg,12,1,1,0.000000000000e+00,-2.811724797036e-02
of_gamg,12,1,2,0.000000000000e+00,-1.183548466248e-02
of_gamg,12,1,3,0.000000000000e+00,-6.421969414578e-03
of_gamg,12,1,4,0.000000000000e+00,-3.999878508734e-03
of_gamg,12,1,5,0.000000000000e+00,-1.306757680911e-03
of_gamg,12,1,6,0.000000000000e+00,-1.370374993937e-02
of_gamg,12,1,7,0.000000000000e+00,3.947208351214e-04
of_gamg,12,1,8,0.000000000000e+00,-2.938273417902e-03
of_gamg,12,1,9,0.000000000000e+00,1.205217971814e-04
of_gamg,13,2,0,0.000000000000e+00,-4.919682280000e-02
of_gamg,13,2,1,0.000000000000e+00,-6.027248579457e-03
of_gamg,13,2,2,0.000000000000e+00,-6.938151926636e-03
of_gamg,13,2,3,0.000000000000e+00,-1.358322814219e-02
of_gamg,14,2,0,-5.402756986531e-03,6.938893903907e-18
of_gamg,14,2,1,-1.965572238956e-03,3.469446951954e-18
of_gamg,14,2,2,-2.097049248271e-03,-3.469446951954e-18
of_gamg,14,2,3,-2.906558851301e-03,-3.469446951954e-18
of_gamg,15,1,0,-2.977127958227e-03,-1.193799977945e-02
of_gamg,15,1,1,-1.102620658060e-02,6.132418211156e-03
of_gamg,15,1,2,-5.895740392951e-03,-1.601788007599e-02
of_gamg,15,1,3,-2.741865089514e-03,-3.067105686022e-04
of_gamg,15,1,4,-2.788149839575e-03,7.574194599795e-03
of_gamg,15,1,5,-3.135630019143e-03,-1.282812951342e-02
of_gamg,15,1,6,-6.124954038029e-03,7.545379807985e-03
of_gamg,15,1,7,-1.286315994717e-03,-5.067486432861e-03
of_gamg,15,1,8,-1.482737611556e-03,3.721623167236e-03
of_gamg,15,1,9,-7.609620601496e-04,-1.924827305775e-03
of_gamg,16,1,0,-4.682556498148e-03,1.822220210010e-03
