cycle,cell,psi,residual,resnorm
0,0,0,2,1
0,1,0,0,1
0,2,0,0,1
0,3,0,0,1
0,4,0,2,1
0,5,0,0,1
0,6,0,0,1
0,7,0,0,1
0,8,0,2,1
0,9,0,0,1
0,10,0,0,1
0,11,0,0,1
0,12,0,2,1
0,13,0,0,1
0,14,0,0,1
0,15,0,0,1
0,16,0,3,1
0,17,0,1,1
0,18,0,1,1
0,19,0,1,1
1,0,0.853764140384382,-0.04928814763185108,0.1377657161591526
1,1,0.5075639729840132,0.07472756184007434,0.1377657161591526
1,2,0.2454066908248557,0.1087781856576123,0.1377657161591526
1,3,0.09931583613333098,-0.03616355074363033,0.1377657161591526
1,4,0.8582044409216636,-0.0888880619429413,0.1377657161591526
1,5,0.4982486495828765,0.1184668723179028,0.1377657161591526
1,6,0.2381184490148352,0.1605782374424414,0.1377657161591526
1,7,0.1156931029648379,-0.1119076918778011,0.1377657161591526
1,8,0.8501213526981181,-0.04902407730481106,0.1377657161591526
1,9,0.507574607728897,0.08852792611921378,0.1377657161591526
1,10,0.2537035901292122,0.1605879342834397,0.1377657161591526
1,11,0.1291235377982222,-0.1110613615171056,0.1377657161591526
1,12,0.8358036375352186,-0.06470028036007303,0.1377657161591526
1,13,0.5167527646245947,0.1045001657463404,0.1377657161591526
1,14,0.3005857002583341,0.1427496844928085,0.1377657161591526
1,15,0.1651596343799553,-0.1128691828833488,0.1377657161591526
1,16,0.7474437899933073,-0.1213118237023555,0.1377657161591526
1,17,0.5275472787222697,0.03593665739893653,0.1377657161591526
1,18,0.4094764963923829,0.0639702479785606,0.1377657161591526
1,19,0.2832197509598712,-0.1246823749868892,0.1377657161591526
2,0,0.8733073528667876,-0.006541341322261585,0.02138485595054998
2,1,0.6141897354968582,0.01022008223836945,0.02138485595054998
2,2,0.3693122731387393,-0.00467772727776089,0.02138485595054998
2,3,0.1204240615021507,0.005568868626367629,0.02138485595054998
2,4,0.8724983346480307,-0.009260798666968828,0.02138485595054998
2,5,0.6101696627234171,0.02180361593908775,0.02138485595054998
2,6,0.368645295139448,-0.001311952046681941,0.02138485595054998
2,7,0.117952841496231,0.02334185800956014,0.02138485595054998
2,8,0.8697538589829802,-0.02621478787246678,0.02138485595054998
2,9,0.6071489015484193,0.02826482171632816,0.02138485595054998
2,10,0.3758344511527228,-0.005317553370806083,0.02138485595054998
2,11,0.1240367088491165,0.02366637912713163,0.02138485595054998
